97,GNOME Klotski,Slide blocks to solve the puzzle,sudo snap install gnome-klotski,games
98,ksudoku,"KSudoku, Sudoku game & more by KDE",sudo snap install ksudoku,games
99,kmines,Minesweeper-like Game,sudo snap install kmines,games
100,kgoldrunner,A game of action and puzzle-solving,sudo snap install kgoldrunner,games
101,nethack,The popular nethack console adventure,sudo snap install nethack,games
102,kblocks,Falling Blocks Game,sudo snap install kblocks,games
103,bovo,"""Five in a row"" board game",sudo snap install bovo,games
104,GNOME Nibbles,Guide a worm around a maze,sudo snap install gnome-nibbles,games
105,blinken,Memory Enhancement Game,sudo snap install blinken,games
106,KPatience,Solitaire card game,sudo snap install kpat,games
107,kfourinline,Connect Four game,sudo snap install kfourinline,games
108,klickety,SameGame puzzle game,sudo snap install klickety,games
109,kmahjongg,mahjongg solitaire game,sudo snap install kmahjongg--candidate,games
110,kspaceduel,Space Arcade Game,sudo snap install kspaceduel,games
111,kanagram,KDE Letter Order Game,sudo snap install kanagram,games
112,klines,color lines game,sudo snap install klines,games
113,ksnakeduel,Tron-like Game,sudo snap install ksnakeduel,games
114,kblackbox,Blackbox Logic Game,sudo snap install kblackbox,games
115,killbots,port of the classic BSD console game robots,sudo snap install killbots,games
116,knetwalk,wire puzzle game,sudo snap install knetwalk--candidate,games
117,kreversi,Reversi Board Game,sudo snap install kreversi--candidate,games
118,katomic,Sokoban-like Logic Game,sudo snap install katomic,games
119,Iagno,Dominate the board in a classic version of Reversi,sudo snap install iagno,games
120,kbreakout,ball and paddle game,sudo snap install kbreakout,games
121,knavalbattle,battleship board game,sudo snap install knavalbattle,games
122,picmi,Puzzle game based on number logic,sudo snap install picmi,games
123,kiriki,Yahtzee-like Dice Game,sudo snap install kiriki,games
124,ktuberling,A simple constructor game suitable for children and adults alike,sudo snap install ktuberling,games
125,kjumpingcube,simple tactical game,sudo snap install kjumpingcube,games
126,kollision,Casual ball game,sudo snap install kollision,games
127,kbounce,Jezzball arcade game,sudo snap install kbounce,games
128,kshisen,Shisen-Sho Mahjongg-like Tile Game,sudo snap install kshisen--candidate,games
129,kapman,Eat pills escaping ghosts,sudo snap install kapman,games
130,ksquares,Connect the dots to create squares,sudo snap install ksquares,games
131,konquest,Galactic Strategy Game,sudo snap install konquest,games
132,granatier,Bomberman clone,sudo snap install granatier,games
133,Ascii Patrol,Ascii Patrol,sudo snap install ascii-patrol,games
134,azimuth,Azimuth - A metroidvania with vector graphics,sudo snap install azimuth,games
135,Rigs of Rods,Rigs of Rods,sudo snap install rigs-of-rods--candidate,games
136,Swell Foop,Clear the screen by removing groups of colored and shaped tiles,sudo snap install swell-foop,games
137,OGRE Sample Browser,Object-Oriented Graphics Rendering Engine,sudo snap install ogre,games
138,mc-server-installer,Minecraft Server Downloader and Installer,sudo snap install mc-server-installer,games
