id,appname,appdesc,applink,category
124,Overleaf Desktop,An Overleaf Desktop Application,sudo snap install overleaf,productivity
125,Anki - unofficial,"Anki is a friendly, intelligent spaced learning system.",sudo snap install anki-woodrow--beta,productivity
126,WPS Office - All languages - No internet,WPS Office Suite all languages with no internet connection,sudo snap install wps-office-all-lang-no-internet,productivity
127,agent,Mail.Ru Agent for Linux,sudo snap install agent--edge,productivity
128,Evernote Web Client,Evernote Web Client,sudo snap install evernote-web-client,productivity
129,superproductivity,superProductivity,sudo snap install superproductivity,productivity
130,cw-sh,The best way to tail AWS Cloudwatch Logs from your terminal,sudo snap install cw-sh,productivity
131,zulip,Zulip,sudo snap install zulip,productivity
132,Start & Doc,Start & Doc,sudo snap install start-and-doc,productivity
133,workbase-server,WorkBase,sudo snap install workbase-server,productivity
134,Inkdrop,Note-taking App with Robust Markdown Editor,sudo snap install inkdrop,productivity
135,Auryo,Auryo,sudo snap install auryo,productivity
136,Twist · Team Communication,A Team Communication App for Remote Work,sudo snap install twist,productivity
