164,pre-commit,A framework for managing and maintaining multi-language pre-commit hooks,sudo snap install pre-commit --classic,https://dashboard.snapcraft.io/site_media/appmedia/2019/04/icon_lugx4Kz.png,development
165,YAML Language Server,YAML Language Server,sudo snap install yaml-language-server,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
166,Postbird,PostgreSQL GUI client,sudo snap install postbird,https://dashboard.snapcraft.io/site_media/appmedia/2019/01/icon_7Bz9Kdk.png,development
167,cppcheck,A tool for static C/C++ code analysis,sudo snap install cppcheck,https://dashboard.snapcraft.io/site_media/appmedia/2018/11/cppcheck.png,development
168,Alpha App,Alpha App,sudo snap install alphaapp,https://dashboard.snapcraft.io/site_media/appmedia/2019/05/64x64.png,development
169,juju-crashdump,Gather logs and other debugging info from a Juju model,sudo snap install juju-crashdump --classic,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
170,ffmpeg-integration-lgpl,The FFmpeg integration stage snap for consumer snaps(LGPL compatible),sudo snap install ffmpeg-integration-lgpl,https://dashboard.snapcraft.io/site_media/appmedia/2019/04/icon.svg_UU5w1eq.png,development
171,buzyteam,buzyteam,sudo snap install buzyteam,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
172,Glade,Create or open user interface designs for GTK+ applications,sudo snap install glade,https://dashboard.snapcraft.io/site_media/appmedia/2017/09/glade.png,development
173,LP Build Snap,Utility to trigger Snap package builds in Launchpad,sudo snap install lp-build-snap,https://dashboard.snapcraft.io/site_media/appmedia/2019/02/launchpad-logo.png,development
174,InfluxDB,An Open-Source Time Series Database,sudo snap install influxdb-ijohnson,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
175,adtl,API Development and Testing Tool,sudo snap install adtl,https://dashboard.snapcraft.io/site_media/appmedia/2019/05/icon_Xvqdq5V.png,development
176,tqdm,"A fast, extensible CLI progress bar",sudo snap install tqdm,https://dashboard.snapcraft.io/site_media/appmedia/2019/02/logo.png,development
177,cass,A database GUI,sudo snap install cass,https://dashboard.snapcraft.io/site_media/appmedia/2019/04/icon_rpHhDdD.png,development
